WHERE	SUB	KIND	untranslatable	method	filename	filetype	location	parent	name	type	property	unique_id	text	translation	DESCRIPTION	Comments	max_length
Inventory	Item/Weapon/Button	Button	0	substr	Scripts/Actions	gd			unload.text	literal		51	Unload	アンロード			
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Actions	gd			unload.text	literal		58	Unload				
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Context	gd			unloadButton.text	literal		87	Unload				
Inventory	Item/Weapon/Button	Button	0	ignore	Scripts/Context	gd			unloadButton.text	literal		94	Unload				
Inventory	Item/Weapon/Button	Button	0	substr	Scripts/Context	gd			unloadButton.text	literal		101	Clear Chamber	クリアチャンバー			
Inventory	Item/Equipments	Button	0	substr	Scripts/Actions	gd			equip.text	literal		92	Unequip	装備解除			
Inventory	Item/Equipments	Button	0	substr	Scripts/Actions	gd			equip.text	literal		94	Equip	装備			
Inventory	Item	Button	0	pattern	Scripts/Actions	gd			take.text	concat		77	Take ({str})	Take ({str})			
Inventory	Item	Button	0	ignore	Scripts/Context	gd			takeButton.text	concat		114	Take ({str})				
Inventory	Event	Button	0	substr	Scripts/Event	gd			showButton.text	literal		81	Show	表示			
Inventory	Event	Button	0	substr	Scripts/Event	gd			showButton.text	literal		86	Hide	非表示			
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		57	Activated	有効化			
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		93	Not active	非アクティブ			
Inventory	Event	String	0	substr	Scripts/Event	gd			location.get_child(0).text	literal		42	All maps & zones	すべてのマップとゾーン			
Inventory	Event	String	0	substr	Scripts/Event	gd			status.text	literal		98	Active	アクティブ			
Inventory	Recipe	Button	0	ignore	Scripts/Recipe	gd			showButton.text	literal		256	Show				
Inventory	Recipe	Button	0	ignore	Scripts/Recipe	gd			showButton.text	literal		261	Hide				
Inventory	Recipe	ToolTip	0	substr	Scripts/Recipe	gd			completeButton.text	literal		63	Repair	修理			
