text	translation
Monitor: {idx}	Monitor: {idx}
Window: {percent}%	Window: {percent}%
Loading {scene}...	Loading {scene}...
Remove {name}	Remove {name}
Level {no}	Level {no}
Day {str}	Day {str}
In {str} Days	In {str} Days
{type} Event	{type} Event
~{str}% / map instance	~{str}% / map instance
You slept {str} hours	You slept {str} hours
Cat Fed ({name})	Cat Fed ({name})
Task Completed: {name}	Task Completed: {name}
Item Returned: {name}	Item Returned: {name}
Take ({str})	取る ({str})
Level {str}	レベル {str}
Remove ({display})	削除 ({display})
Unlock with {name}	{name} で解除
Open with {name}	{name} で開く
{containerName} [Locked]	{containerName} [ロック中]
{containerName} [Open]	{containerName} [開く]
Fuel Tank [{percent}%]	燃料タンク [{percent}%]
Items: {str}	アイテム: {str}
