text	translation
Selected	선택됨
Forward	앞으로
Backward	뒤로
Left	왼쪽으로
Right	오른쪽으로
Crouch	웅크리기
Jump	점프
Sprint	달리기
Lean Left	왼쪽으로 기울이기
Lean Right	오른쪽으로 기울이기
Draw Primary	주무기 꺼내기
Draw Secondary	보조무기 꺼내기
Draw Knife	칼 꺼내기
Draw Grenade 1	수류탄 꺼내기 1
Draw Grenade 2	수류탄 꺼내기 2
Raise Weapon	무기 올리기
Lower Weapon	무기 내리기
Aim	조준
Canted Aim	기울여 조준
Fire	발사
Reload	재장전
Ammo Check	잔탄 확인
Firemode	조정간 (사격 방식)
Inspect Weapon	무기 살펴보기
Prepare Insert	삽입 준비
Insert Cartridge	탄창 삽입
Interact	상호작용
Place	배치
Decor Mode	장식 모드
Flashlight	손전등
NVG	야간투시경
Laser	레이저
Rail Movement	레일 이동
Secondary Optic	보조 조준경
Interface	인터페이스
Rotate Item	아이템 회전
Fast Transfer	빠른 옮기기
Fast Equip	빠른 장착
Fast Drop	빠른 버리기
Left Mouse Button	마우스 좌클릭
Right Mouse Button	마우스 우클릭
Middle Mouse Button	마우스 휠클릭
Mouse Wheel Up	마우스 휠 위로
Mouse Wheel Down	마우스 휠 아래로
Loading...	로딩중...
All save files deleted	모든 세이브 파일이 삭제되었습니다
Character died	캐릭터가 사망했습니다
Intro	인트로
Cabin	오두막
Shelter	피신처
Tutorial	튜토리얼
Menu	메뉴
Attic	다락방
Death	죽음
Classroom	교실
Tent	텐트
Bunker	벙커
Village	마을
Area 05	05 구역
Highway	고속도로
School	학교
Outpost	전초기지
Minefield	지뢰지대
Apartments	아파트
Terminal	터미널
Template	템플릿
shaders	셰이더
Neutral	보통
Overcast	흐림
Rain	비
Storm	폭풍
Generic	일반
Wood	나무
Metal	금속
Concrete	콘크리트
Rock	돌
Inventory	인벤토리
Primary	주무기
Secondary	보조무기
Knife	칼
Task Notes empty	의뢰 노트가 비어있습니다
Task Notes not available (Tutorial)	의뢰 노트를 사용할 수 없습니다 (튜토리얼)
Map not equipped	지도가 장착되지 않았습니다
Map not usable (Vostok)	지도를 사용할 수 없습니다 (보스토크)
Casette Player not equipped	카세트 플레이어가 장착되지 않았습니다
Casette Player power 0%, recharge player	카세트 플레이어의 전력이 0% 입니다, 충전해주세요.
Casette Player empty, insert casette	카세트 플레이어가 비어있습니다, 카세트를 넣어주세요.
Override Ambient Music [ON]	배경음악 덮어쓰기 [켜기]
Override Ambient Music [OFF]	배경음악 덮어쓰기 [끄기]
Sleep	수면
Level 2	레벨 2
Level 3	레벨 3
Level 4	레벨 4
Level 5	레벨 5
Heat required	열원 필요
Workbench required	작업대 필요
Shelter required	은신처 필요
Start Input	투입 시작
Stop Input	투입 정지
Reset Input	투입 초기화
Press key to bind...	키를 입력하세요...
Start Delivery	배달 시작
Stop Delivery	배달 종료
Delivered	배달됨
CBRN	화생방
Overweight	중량 초과
Explosion	폭발
Fall	낙하
Day	일
Easy	쉬움
Intermediate	보통
